epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,212.986,1.7531,2.99838,1.98458,0.25006,0.13843,0.09759,0.03568,2.30451,4.94428,2.90832,0.000664815,0.000664815,0.0674241
2,397.57,1.75336,2.91098,1.98076,0.35189,0.22533,0.17133,0.0734,2.12713,3.07103,2.45331,0.00130512,0.00130512,0.034731
3,579.008,1.68246,2.74733,1.91172,0.27927,0.26529,0.21256,0.08898,2.19199,2.93793,2.61906,0.00191902,0.00191902,0.00201161
4,759.586,1.64683,2.61767,1.88026,0.28086,0.4027,0.32999,0.15077,1.98472,2.4712,2.30333,0.0018812,0.0018812,0.0018812
5,940.674,1.60637,2.49393,1.837,0.39872,0.43154,0.40251,0.18564,1.93455,2.33703,2.22584,0.0018416,0.0018416,0.0018416
6,1120.34,1.58193,2.36944,1.80972,0.4886,0.49176,0.46752,0.22983,1.85395,1.91222,2.16124,0.001802,0.001802,0.001802
7,1299.61,1.55795,2.28748,1.78982,0.39634,0.36154,0.33902,0.16301,1.86747,2.43038,2.18199,0.0017624,0.0017624,0.0017624
8,1479.49,1.54417,2.22961,1.77334,0.52165,0.43662,0.44107,0.22449,1.82912,2.04213,2.14133,0.0017228,0.0017228,0.0017228
9,1658.75,1.51296,2.13902,1.75633,0.51726,0.45861,0.49102,0.27098,1.68134,1.95202,1.96153,0.0016832,0.0016832,0.0016832
10,1838.78,1.50211,2.09214,1.74505,0.57398,0.48637,0.51196,0.27046,1.72482,1.81449,1.99194,0.0016436,0.0016436,0.0016436
11,2019.28,1.49019,2.0533,1.73371,0.58427,0.53169,0.54326,0.29632,1.63846,1.67065,1.92885,0.001604,0.001604,0.001604
12,2197.85,1.48365,1.99893,1.72662,0.60505,0.56889,0.59986,0.33275,1.63628,1.53236,1.92097,0.0015644,0.0015644,0.0015644
13,2377.85,1.47242,1.9394,1.71085,0.61354,0.5476,0.59564,0.33016,1.62341,1.61863,1.88459,0.0015248,0.0015248,0.0015248
14,2554.73,1.46763,1.91152,1.70626,0.64407,0.58878,0.62453,0.35292,1.61591,1.45085,1.90573,0.0014852,0.0014852,0.0014852
15,2734.09,1.45239,1.8928,1.70134,0.66528,0.58745,0.61705,0.3514,1.62065,1.53057,1.90078,0.0014456,0.0014456,0.0014456
16,2915.04,1.45148,1.85856,1.69098,0.68956,0.59296,0.62535,0.35914,1.55214,1.41574,1.83878,0.001406,0.001406,0.001406
17,3095.75,1.4385,1.81322,1.68377,0.69193,0.61076,0.6518,0.37142,1.58652,1.41435,1.84965,0.0013664,0.0013664,0.0013664
18,3274.66,1.42469,1.78076,1.67748,0.67779,0.58103,0.62816,0.34914,1.65197,1.44131,1.91494,0.0013268,0.0013268,0.0013268
19,3457.5,1.4132,1.75458,1.66746,0.70985,0.64262,0.67367,0.38968,1.57064,1.28303,1.85222,0.0012872,0.0012872,0.0012872
20,3639.07,1.40762,1.7181,1.65436,0.6998,0.58999,0.63764,0.3703,1.56249,1.39027,1.83489,0.0012476,0.0012476,0.0012476
21,3821.7,1.39296,1.6628,1.65203,0.71791,0.63494,0.6822,0.38853,1.57015,1.2812,1.839,0.001208,0.001208,0.001208
22,4005.16,1.39105,1.66868,1.64383,0.76966,0.62744,0.69087,0.4,1.5572,1.23955,1.81682,0.0011684,0.0011684,0.0011684
23,4188.08,1.3819,1.64001,1.64373,0.73365,0.651,0.69768,0.40422,1.57274,1.22344,1.8449,0.0011288,0.0011288,0.0011288
